time,One_full_time_and_one_part_time_working_person_three_children,Two_full_time_working_persons_three_children,One_full_time_and_one_part_time_working_person_two_children,Two_full_time_working_persons_two_children,"One_full_time_and_one_part_time_working_person,_one_child",Two_full_time_working_persons_one_child,One_full_time_and_one_part_time_working_person,Two_pensioneers,Two_full_time_working_persons,One_pensioneer,One_full_time_working_person
9/20/2015 5:00,0.160057888,0.197760033,0.159127833,0.08264345,0.238996567,0.179383,0.1199139,0.1978667,0.124314533,0.175232672,0.122748083
9/20/2015 6:00,0.157122233,0.18929145,0.2285177,0.08378245,0.24398305,0.194326833,0.1534971,0.269748383,0.127608633,0.064780345,0.195666783
9/20/2015 7:00,0.4319566,0.376187738,0.102973033,0.183871933,0.201763067,0.146810333,1.00911435,0.16493065,0.127471032,0.079690692,0.261901117
9/20/2015 8:00,0.186564933,1.064412783,0.92694155,0.263655517,0.316443217,0.1210477,0.841163567,0.1260594,0.130428383,0.06836476,0.4833527
9/20/2015 9:00,0.745262773,0.189257383,1.856197633,0.087050967,0.129015817,0.20936415,0.35544575,1.394143483,0.130121983,0.298038905,0.128033767
9/20/2015 10:00,0.398117967,0.412029767,1.0611162,0.087409838,0.638491817,0.191063933,0.244549483,0.4375184,0.128644,0.659869015,0.12690145
9/20/2015 11:00,0.281483725,1.591965367,1.136632267,0.0963383,2.161103933,0.118298,0.237322183,1.955476567,0.77424535,0.138317565,0.127438345
9/20/2015 12:00,0.206383865,0.9883045,0.746034333,0.095581083,1.024734067,0.114118133,0.123150483,0.12492875,0.46094905,0.06686845,0.15498705
9/20/2015 13:00,2.038634625,0.8572033,0.099977717,0.091600792,0.192720417,0.944465983,0.123709055,0.1247904,0.127481383,0.063019571,0.181634017
9/20/2015 14:00,1.129520888,2.4175338,0.091694983,0.120214633,0.1313643,0.236923917,0.124062167,0.696671883,0.128478467,0.062839997,0.120710683
9/20/2015 15:00,0.530080077,0.312947217,0.10286975,0.165561917,0.13250025,0.125977967,0.1445268,0.13041925,0.1285669,0.078483615,0.243949883
9/20/2015 16:00,0.320821218,0.192924867,0.108006783,0.088936633,0.194154667,0.2749744,0.162771717,0.12552635,0.270406667,0.061993988,0.313306833
9/20/2015 17:00,0.846347212,0.44780445,0.855973,1.584560817,0.43409165,0.238351017,0.179270567,0.218227633,0.788748567,0.554818695,0.229781467
9/20/2015 18:00,2.652541883,0.62347125,0.516735883,1.780365833,1.196180467,0.3015615,0.301080617,0.3821737,0.270919488,0.2163567,0.212070967
9/20/2015 19:00,1.73595435,0.974929717,1.044065883,0.655330833,1.2118676,0.284187167,0.428060917,0.406138083,0.32646865,0.221132617,0.24101365
9/20/2015 20:00,1.704702583,0.93330455,0.621667167,1.0385025,0.493712217,0.326208,0.438229833,0.38085375,0.226307817,0.237789717,0.317022867
9/20/2015 21:00,0.676272877,0.760127933,0.71361995,0.522240333,0.627981267,0.3561745,0.528851367,0.3745203,0.1239489,0.15880775,0.2753902
9/20/2015 22:00,0.731028995,0.553801467,0.415037983,0.627166833,0.616818217,0.166319433,0.244533883,0.3945531,0.19100295,0.083328927,0.119358933
9/20/2015 23:00,0.768609333,0.446417183,0.626224717,0.549087983,0.37897225,0.11029155,0.119371467,0.1172035,0.171970683,0.078431735,0.201545217
9/21/2015 0:00,0.520661435,0.734593187,0.312055217,0.296749167,2.232456033,0.121084783,0.118687783,0.117113067,0.118346367,0.061319248,0.1532061
9/21/2015 1:00,0.447619077,0.202537155,0.157355617,0.075474967,0.179730622,0.11779365,0.1183029,0.117224667,0.123857383,0.061372423,0.121523133
9/21/2015 2:00,0.417080088,0.1917668,0.1030062,0.075603233,0.116460983,0.109880867,0.120208382,0.115991483,0.422143617,0.064173368,0.11955565
9/21/2015 3:00,0.3044658,0.217401133,0.1006296,0.075809335,0.1172956,0.11027,0.121572017,0.1168184,0.14248125,0.076871515,0.120366667
9/21/2015 4:00,0.378823708,1.115096477,0.100210933,0.081794183,0.117253217,0.129901683,0.119413117,0.1162608,0.122699933,0.063059678,0.120530917
9/21/2015 5:00,0.299901212,1.0274176,0.10166675,0.082764533,0.11953025,0.113695017,0.119182033,0.356296733,0.165691367,0.062261548,0.122149833
9/21/2015 6:00,0.349149283,0.2163856,0.179305483,0.520408867,0.123736117,0.114696183,0.15873515,0.273980867,0.2082192,0.112545,0.122011233
9/21/2015 7:00,0.263980783,0.20110312,0.156577367,0.1625967,0.1258782,0.122552167,0.18540465,0.2335724,0.181781865,0.085272042,0.1256387
9/21/2015 8:00,0.161020587,0.193050822,0.661327767,0.1106322,0.12526135,0.3119068,0.119951967,0.17048505,0.126714583,0.063903643,0.122895433
9/21/2015 9:00,0.355331875,0.185166617,1.55440025,0.083118383,0.120163517,0.60546545,0.119375867,0.122872517,0.123791917,0.064000505,0.126048117
9/21/2015 10:00,0.161356373,0.190026067,1.02253916,0.078383205,0.138439767,0.525170992,0.159347133,0.218388133,0.122103017,0.080095032,0.124917183
9/21/2015 11:00,0.153622632,0.1837895,0.3732463,0.755002167,0.51238205,0.318452842,0.458088617,0.121232567,0.130645583,0.139999565,0.126233412
9/21/2015 12:00,0.185847797,0.243524,0.1007836,0.204076,0.144668617,0.24066715,0.679055217,0.119798767,0.120515767,0.066875767,0.1232506
9/21/2015 13:00,0.77314239,0.930481217,1.39505295,0.081994442,0.1213302,0.1167842,1.139387,0.121938667,0.120622767,0.066899988,0.11926475
9/21/2015 14:00,0.619715445,0.3205194,1.0061481,0.080693717,0.12908,0.301578133,0.416912383,0.120052517,0.1216757,0.067261413,0.119124517
