time,One_full_time_working_person_heat_demand[kW],One_pensioneer_heat_demand[kW],Two_full_time_working_persons_heat_demand[kW],Two_pensioneers_heat_demand[kW],One_full_time_and_one_part_time_working_person_heat_demand[kW],Two_full_time_working_persons_one_child_heat_demand[kW],"One_full_time_and_one_part_time_working_person,_one_child_heat_demand[kW]",Two_full_time_working_persons_two_children_heat_demand[kW],One_full_time_and_one_part_time_working_person_two_children_heat_demand[kW],Two_full_time_working_persons_three_children_heat_demand[kW],One_full_time_and_one_part_time_working_person_three_children_heat_demand[kW]
1/7/2015 5:00,5.577111667,4.293941667,4.810161833,4.2993695,6.308976167,5.776541833,4.7074285,6.608502333,4.917913333,4.638832833,5.255228
1/7/2015 6:00,7.1250655,4.088973167,7.701820833,5.4319015,5.865199333,7.225364833,7.526402333,5.641462,5.094475,5.4621435,5.958318333
1/7/2015 7:00,6.864378333,3.898393333,5.726900333,5.230938833,5.427746167,6.877456833,7.221112333,6.441643167,4.626090167,6.881352667,8.506757333
1/7/2015 8:00,6.3160565,3.771966333,5.447488667,6.494567667,5.16293,6.5419115,5.204101833,4.7677035,4.4760625,5.223733833,5.4518025
1/7/2015 9:00,5.950250167,3.753112833,5.131987,4.587020167,4.863909,6.163023,4.902695833,4.523687167,4.4536915,4.934185,5.136051167
1/7/2015 10:00,5.5920375,3.6690835,4.8230345,4.310874833,4.571094167,5.792001,4.607547,4.422403667,4.353975,4.426288167,4.826853667
1/7/2015 11:00,5.389081333,3.473127333,4.647988333,4.154417333,4.405193167,6.363078333,4.440322167,4.186215667,4.121441,5.6668325,4.651668667
1/7/2015 12:00,5.2791475,3.39776,4.5531725,4.069671,4.539692,5.467923333,4.3497415,4.0953745,4.032006667,4.178625,4.556778
1/7/2015 13:00,5.3295345,3.260426,4.596631667,4.108513333,4.356518,5.520112,4.615619333,3.929844,3.869037167,4.218508,5.043395667
1/7/2015 14:00,5.46266,3.2875135,4.711448,4.2111395,4.465338,5.657997167,4.500947,3.962493167,3.901180667,6.290856833,9.319870167
1/7/2015 15:00,7.418258167,3.306010167,4.888704,4.369571333,4.633334167,5.8708625,4.670282,3.984786333,3.924228333,4.486555,4.8925745
1/7/2015 16:00,5.859815833,3.675732667,5.05399,4.517305,4.789985833,6.0693555,4.8281835,4.430419333,4.803353,4.638244167,7.390190833
1/7/2015 17:00,6.0796935,3.886278667,5.243630833,4.686807,4.96972,6.297095667,5.0093505,4.684193667,4.611714333,4.812284833,5.247782667
1/7/2015 18:00,6.147269667,3.933333333,5.526272667,6.140093833,5.024959,7.068615167,5.06503,4.740910333,4.667553,4.865773833,5.306110833
1/7/2015 19:00,6.101593167,3.956774667,5.262517667,4.7036905,4.987621167,6.321644667,5.027395167,4.769164,4.695369667,4.829619667,7.598882833
1/7/2015 20:00,5.771445833,3.9515205,4.977772,4.449181333,4.717749667,5.977824667,4.7553715,6.379947167,4.689134667,6.535273667,4.981714167
1/7/2015 21:00,4.958818833,3.589802833,4.276895833,3.8227305,4.0534845,5.214038667,4.085809,4.548138667,4.259895667,3.926941833,6.986561833
1/7/2015 22:00,3.437756,2.797292333,4.3661965,2.650149667,3.034482167,3.560685833,4.582615,3.3716215,3.319451833,2.9435945,3.437924667
1/7/2015 23:00,2.619405,2.146449333,2.259189833,2.0192865,2.1411785,2.7130705,2.158252833,2.5871495,4.5079615,2.2977085,4.496689333
1/8/2015 0:00,2.277666,1.762107333,1.964447167,1.755842333,1.861831333,2.3591125,1.876678,2.123896167,2.091032833,3.7698275,1.966003333
1/8/2015 1:00,2.3093125,1.8070865,1.991742,1.780238167,1.8876995,2.391889667,1.902753333,2.178110167,2.144408167,1.8278995,1.993319
1/8/2015 2:00,2.429215,1.803993333,2.095155667,1.872670167,1.985711,2.516080333,2.0015465,2.174381333,2.140737833,1.922805833,2.0968145
